,treatment,treatment_type,t0_value,t1_value,strata
0,arwuW,gradual,higher_publish_older,lower_publish_younger,"{'genre': ['Fiction'], 'gender': ['male'], 'birthDate': (1800, 1934), 'countryName': ['England', 'U.S.']}"
1,arwuW,gradual,higher_publish_older,lower_publish_younger,"{'genre': ['Fiction'], 'gender': ['male'], 'birthDate': (1800, 2000), 'countryName': ['U.S.']}"
2,arwuW,gradual,higher_publish_older,lower_publish_younger,"{'genre': ['Fiction'], 'birthDate': (1935, 1959), 'countryName': ['U.S.']}"
3,arwuW,gradual,higher_publish_younger,lower_publish_older,"{'genre': ['NonFiction'], 'gender': ['male'], 'birthDate': (1935, 1959), 'countryName': ['U.S.']}"
4,birthDate,gradual,higher_publish_older,lower_publish_younger,"{'arwuW': (1, 100), 'genre': ['Fiction'], 'gender': ['male'], 'countryName': ['England']}"
5,birthDate,gradual,higher_publish_younger,lower_publish_older,"{'arwuW': (1, 100), 'genre': ['Fiction'], 'countryName': ['U.S.']}"
6,birthDate,gradual,higher_publish_younger,lower_publish_older,"{'arwuW': (1, 100), 'gender': ['male'], 'countryName': ['U.S.']}"
7,birthDate,gradual,higher_publish_younger,lower_publish_older,"({'genre': ['Fiction'], 'countryName': ['U.S.']},)"
8,birthDate,gradual,higher_publish_younger,lower_publish_older,"({'arwuW': (101, 600), 'genre': ['Fiction'], 'gender': ['male'], 'countryName': ['U.S.', 'Canada', 'England']},)"
9,genre,categorial,Fiction,NonFiction,"({'arwuW': (1, 100), 'gender': ['male'], 'countryName': ['U.S.'], 'birthDate': [(1800, 1934), (1960, 2000)]},)"
10,gender,categorial,male,female,"{'arwuW': (1, 100), 'genre': ['Fiction'], 'countryName': ['U.S.'], 'birthDate': (1800, 2000)}"
11,gender,categorial,male,female,"{'genre': ['Fiction'], 'countryName': ['U.S.'], 'birthDate': (1935, 1959)}"
12,gender,categorial,female,male,"{'arwuW': (101, 600), 'genre': 'Fiction', 'countryName': ['U.S.'], 'birthDate': [(1800, 1934), (1960, 2000)]}"
